   59.7376976   # Box length L  
   10648        # Number of sites 
   1.35767496       39.3725739       1.35767496    
   1.35767496       42.0879250       4.07302475    
   4.07302475       42.0879250       1.35767496    
   4.07302475       39.3725739       4.07302475    
   0.00000000       38.0149002       5.43069983    
   0.00000000       40.7302475       8.14604950    
   2.71534991       40.7302475       5.43069983    
   2.71534991       38.0149002       8.14604950    
   1.35767496       39.3725739       6.78837490    
   1.35767496       42.0879250       9.50372505    
   4.07302475       42.0879250       6.78837490    
   4.07302475       39.3725739       9.50372505    
   0.00000000       38.0149002       10.8613997    
   0.00000000       40.7302475       13.5767498    
   2.71534991       40.7302475       10.8613997    
   2.71534991       38.0149002       13.5767498    
   1.35767496       39.3725739       12.2190742    
   1.35767496       42.0879250       14.9344244    
   4.07302475       42.0879250       12.2190742    
   4.07302475       39.3725739       14.9344244    
   0.00000000       38.0149002       16.2920990    
   0.00000000       40.7302475       19.0074501    
   2.71534991       40.7302475       16.2920990    
   2.71534991       38.0149002       19.0074501    
   1.35767496       39.3725739       17.6497746    
   1.35767496       42.0879250       20.3651237    
   4.07302475       42.0879250       17.6497746    
   4.07302475       39.3725739       20.3651237    
   0.00000000       38.0149002       21.7227993    
   0.00000000       40.7302475       24.4381485    
   2.71534991       40.7302475       21.7227993    
   2.71534991       38.0149002       24.4381485    
   1.35767496       39.3725739       23.0804749    
   1.35767496       42.0879250       25.7958241    
   4.07302475       42.0879250       23.0804749    
   4.07302475       39.3725739       25.7958241    
   0.00000000       38.0149002       27.1534996    
   0.00000000       40.7302475       29.8688488    
   2.71534991       40.7302475       27.1534996    
   2.71534991       38.0149002       29.8688488    
   1.35767496       39.3725739       28.5111732    
   1.35767496       42.0879250       31.2265244    
   4.07302475       42.0879250       28.5111732    
   4.07302475       39.3725739       31.2265244    
   0.00000000       38.0149002       32.5841980    
   0.00000000       40.7302475       35.2995491    
   2.71534991       40.7302475       32.5841980    
   2.71534991       38.0149002       35.2995491    
   1.35767496       39.3725739       33.9418755    
   1.35767496       42.0879250       36.6572227    
   4.07302475       42.0879250       33.9418755    
   4.07302475       39.3725739       36.6572227    
   0.00000000       38.0149002       38.0149002    
   0.00000000       40.7302475       40.7302475    
   2.71534991       40.7302475       38.0149002    
   2.71534991       38.0149002       40.7302475    
   1.35767496       39.3725739       39.3725739    
   1.35767496       42.0879250       42.0879250    
   4.07302475       42.0879250       39.3725739    
   4.07302475       39.3725739       42.0879250    
   0.00000000       38.0149002       43.4455986    
   0.00000000       40.7302475       46.1609497    
   2.71534991       40.7302475       43.4455986    
   2.71534991       38.0149002       46.1609497    
